user_id,sign_up_date,age,gender,married,has_children,home_country,home_city,session_count,avg_session_duration_minute,avg_page_clicks,total_trips,conversion_rate,weekend_trip_proportion,cancellation_proportion,avg_booking_departure_gap_days_flights,avg_booking_departure_gap_days_hotels,total_flights_booked,round_trips_proportion,avg_flight_price_usd,avg_flight_discount_amount,discounted_flight_proportion,avg_flight_seats,avg_checked_bags,avg_distance_flown_km,total_hotels_booked,avg_hotel_price_usd,avg_hotel_discount_amount,discounted_hotel_proportion,avg_hotel_rooms,avg_stay_duration_day
23557,2021-07-22,64,F,TRUE,FALSE,usa,new york,12,6.93,17.5,4,0.33,0,0.25,248.05,10.59,2,1,518.29,0.15,0.21,1,1,2680.73,4,157.33,0.18,0.29,1.33,7.33
94883,2022-02-07,51,F,TRUE,FALSE,usa,kansas city,12,0.5,8.33,3,0.25,0,0,60.98,7.31,3,1,1784.95,0.1,0.08,1.67,1,5057.35,2,90,0.08,0.17,1.5,0.5
101486,2022-02-17,50,F,TRUE,TRUE,usa,tacoma,13,1.27,34.87,4,0.31,0,0.25,102.86,89.32,3,1,1938.05,0.08,0.47,3,2.17,3024.52,4,150.14,,0.13,1.71,9.29
101961,2022-02-17,43,F,TRUE,FALSE,usa,boston,12,2,18.17,7,0.58,0.14,0,6.58,7.34,6,1,321.53,0.13,0.25,1,0.5,1753.36,7,150.29,0.1,0.08,1,3.14
106907,2022-02-24,44,F,TRUE,TRUE,usa,miami,14,4.56,29.5,3,0.21,0,0.33,160.06,134.38,2,0.5,11154.75,0.15,0.19,5,4.2,11571.85,3,154.5,0.2,0.19,2.33,9.17
118043,2022-03-10,51,F,FALSE,TRUE,usa,los angeles,13,4.67,16.53,6,0.46,0,0.17,103.97,8.36,4,1,368.19,0.17,0.33,1.43,0.43,1242.1,5,227.25,0.13,0.4,1.25,5.5
120851,2022-03-13,50,F,TRUE,TRUE,usa,santa ana,13,0.8,36.07,4,0.31,0,0.25,74.08,6.19,4,1,2148.76,0.18,0.4,1.57,0.71,6198.32,4,170,,0.13,1,7.33
125845,2022-03-19,39,F,TRUE,FALSE,usa,el paso,13,1.47,32.6,5,0.38,0,0.2,72.56,73.1,5,1,2834.14,0.15,0.27,1.63,0.75,8997.75,5,251.38,0.07,0.33,1.13,6.25
133058,2022-03-27,18,F,FALSE,FALSE,usa,austin,13,0.62,8.69,2,0.15,0,0,6.49,22.66,1,1,423.51,0.15,0.08,1,0,2675.72,1,205,0.08,0.23,1,5
149058,2022-04-14,50,F,FALSE,TRUE,usa,birmingham,12,2.79,15.36,6,0.5,0,0.17,58.59,58.79,6,1,664.4,0.05,0.21,1.56,0.67,2304.81,6,165.67,,0.14,1.11,8.56
152583,2022-04-17,37,F,FALSE,FALSE,usa,colorado springs,10,6.17,21.25,2,0.2,0,0.5,181.16,8.88,2,1,3769.43,0.15,0.25,1.8,1.2,10253.52,2,213,0.15,0.42,1,2
153982,2022-04-19,45,F,FALSE,TRUE,canada,toronto,11,2.23,26,5,0.45,0.2,0.2,97.51,97.93,5,1,1139.94,,0.15,1,0.88,6439.29,5,255.38,0.15,0.23,1,6
160754,2022-04-26,45,F,TRUE,TRUE,usa,new york,10,0.67,41.83,2,0.2,0,0.5,186.79,11.86,2,1,4408.76,,0.17,4.2,4.2,4664.91,2,214,0.1,0.33,1,2
164522,2022-04-30,47,F,TRUE,FALSE,usa,kansas city,10,4,15.75,2,0.2,0,0.5,196.01,9.03,2,1,3025.55,0.05,0.33,1.8,1,10173.06,2,233,0.05,0.25,1,13
167852,2022-05-03,17,F,FALSE,FALSE,usa,tampa,13,0.85,10.69,0,0,0,,,,0,0,,0.1,0.23,,,,0,,0.1,0.31,,
171470,2022-05-06,24,F,FALSE,FALSE,usa,atlanta,9,0.46,67.31,2,0.22,0,1,213.1,,2,1,4079.91,0.1,0.46,1.5,0.5,15375.32,2,,,0.31,,
174997,2022-05-10,31,F,FALSE,FALSE,usa,grand rapids,9,0.91,39.73,3,0.33,0,0.33,91.23,8.21,3,1,1855.78,,0.18,1.67,0.67,5327.8,3,112,0.09,0.55,1,1.5
175032,2022-05-10,28,F,FALSE,FALSE,usa,houston,14,1.14,12.43,4,0.29,0.25,0,6.39,7.56,3,0.67,444.55,0.3,0.07,1.67,0.67,1649.98,4,145.75,0.1,0.21,1.75,3.5
181157,2022-05-15,53,F,TRUE,FALSE,usa,houston,10,1.83,50.25,4,0.4,0,0.25,112.75,113.2,4,1,2300.71,0.18,0.33,2,1,7110.11,4,129.57,0.15,0.25,1.43,7.14
182191,2022-05-16,18,F,FALSE,TRUE,usa,phoenix,9,4.36,23.09,1,0.11,0,1,135.66,,1,1,537.67,,0.18,2,1,1623.5,1,,0.1,0.27,,
187212,2022-05-21,54,F,TRUE,TRUE,usa,los angeles,12,1.33,15.58,3,0.25,0.33,0,8.68,8.89,3,1,414.19,0.22,0.17,1,0.67,2281.71,3,217.33,0.13,0.25,1,2
189676,2022-05-23,35,F,FALSE,TRUE,usa,fort worth,10,1.08,44.25,3,0.3,0,0.33,159.69,4.37,2,1,307.05,0.18,0.42,1.4,0.4,781.67,3,180.5,,0.17,2,9
190866,2022-05-24,36,F,FALSE,FALSE,usa,tallahassee,12,2.07,49,7,0.58,0.14,0.14,63.5,63.94,7,1,1268.76,,0.14,1,0.2,6733.16,7,120.7,0.05,0.21,1,8.2
195192,2022-05-28,27,F,FALSE,FALSE,usa,chicago,13,2.85,27,4,0.31,0,0,10.4,10.54,4,1,326.1,0.1,0.08,1.5,0.25,1270.15,4,278,0.1,0.08,1.5,2
204943,2022-06-06,40,M,FALSE,FALSE,canada,ottawa,11,1.92,39.85,9,0.82,0,0.11,63.59,69.03,9,1,458.94,0.15,0.31,1.25,1,2049.54,8,194.55,,0.15,1.27,7.64
204997,2022-06-06,38,F,TRUE,FALSE,usa,kansas city,9,10,67.31,4,0.44,0,0.5,63.63,70.29,4,1,1642.41,0.25,0.46,1.8,0.9,4721.56,3,210.11,0.1,0.54,1.44,5.78
205044,2022-06-06,40,F,TRUE,TRUE,canada,toronto,12,1.71,43,5,0.42,0.2,0.2,78.42,78.67,5,1,2032.95,0.05,0.21,3.38,2.13,3059.1,5,179.75,0.2,0.21,2.38,4.88
206011,2022-06-07,39,F,FALSE,TRUE,usa,kansas city,12,1.64,36.21,5,0.42,0.2,0.2,49.8,55.83,5,1,388.35,0.05,0.21,1.5,0.63,1450.84,4,94.29,0.15,0.5,1,9
216796,2022-06-16,22,F,FALSE,FALSE,usa,cincinnati,10,16.29,25.79,2,0.2,0,1,150.08,150.41,2,1,1508.5,0.19,0.57,1.5,1,4707.54,2,213.5,0.1,0.36,1,11.5
217114,2022-06-17,19,O,TRUE,TRUE,usa,long beach,11,0.69,40.23,1,0.09,0,1,129.56,,1,1,3716.2,0.05,0.23,2,1,9589.22,1,,0.15,0.38,,
217136,2022-06-17,38,F,FALSE,TRUE,usa,little rock,10,1.17,45,3,0.3,0,0.33,155.06,6.29,2,1,5007.56,0.18,0.33,2.6,1.6,9323.01,3,236.5,,0.17,1,2
220725,2022-06-20,40,F,FALSE,FALSE,usa,stockton,13,2,58.88,5,0.38,0,0.4,38,5.65,5,1,513.71,0.15,0.29,1,0.09,2882.66,4,120,0.05,0.29,1,3.83
224996,2022-06-23,42,F,FALSE,TRUE,canada,halifax,10,0.92,44.33,3,0.3,0,0.33,90.4,8.85,3,1,3109.28,,0.17,1.67,0.67,9139.44,2,231,0.1,0.42,1,0
226367,2022-06-25,42,F,FALSE,FALSE,usa,washington,9,1.22,13.89,4,0.44,0,0,47.7,7.6,4,1,1345.75,0.05,0.11,1.75,1,3388.1,3,253,,0,1.33,1.67
228195,2022-06-26,26,F,FALSE,TRUE,usa,los angeles,11,9.38,28.15,1,0.09,0,1,104.98,,1,1,638.32,0.2,0.23,2,2,1742.28,1,,,0.15,,
228872,2022-06-27,34,M,FALSE,FALSE,usa,san antonio,11,2.09,21.91,4,0.36,0,0,6.57,6.85,3,1,326.46,0.33,0.18,2,1,1480.15,4,87.75,,0,1.75,5
229009,2022-06-27,17,F,FALSE,FALSE,usa,stockton,10,9.07,29.43,4,0.4,0.25,0.5,187.41,9.3,4,1,964.38,0.3,0.43,1,0.1,5692.05,4,149.5,,0.29,1,1.5
229108,2022-06-27,25,F,FALSE,FALSE,usa,burlington,9,1.09,49.64,2,0.22,0,0.5,152.84,,2,1,390.68,0.2,0.36,1,0,2351.66,1,,0.1,0.36,,
229330,2022-06-27,46,F,TRUE,FALSE,usa,colorado springs,11,1.27,14.45,5,0.45,0,0,7.49,7.65,5,1,418.88,,0,1.6,0.2,1516.46,5,176,0.1,0.09,1.6,2
232647,2022-06-30,17,F,FALSE,FALSE,usa,birmingham,10,2.67,12.83,3,0.3,0,0.33,113.86,113.38,2,1,1831.93,0.2,0.42,1,1,10630.57,2,238.6,,0.17,1,8.6
249521,2022-07-15,59,F,TRUE,TRUE,canada,ottawa,11,2,20.45,5,0.45,0,0,30.06,25.58,4,1,917.02,0.2,0.09,1.25,1,3143.88,5,169.8,0.13,0.27,1,5.2
252835,2022-07-18,37,F,FALSE,TRUE,usa,chicago,14,4.31,29.13,9,0.64,0,0.11,7.71,7.86,9,0.89,243.29,0.3,0.19,1.08,0.83,1367.05,7,129.2,0.05,0.19,1.1,2.3
258451,2022-07-22,22,F,FALSE,FALSE,usa,miami,12,2.58,18.33,2,0.17,0,0.5,,6.05,1,0,,0.15,0.25,,,,2,218.67,,0.08,1,12
264470,2022-07-27,44,F,FALSE,TRUE,usa,bakersfield,11,1,11.73,2,0.18,0,0,8.56,8.76,2,1,436.51,0.1,0.18,1,0.5,2229.54,2,200,0.1,0.09,1,4.5
276512,2022-08-06,41,F,TRUE,TRUE,usa,austin,12,1.33,14.08,1,0.08,0,0,10.19,10.4,1,1,395.69,0.12,0.25,1,1,2270.29,1,100,0.16,0.33,1,1
281952,2022-08-11,36,F,FALSE,FALSE,usa,louisville,11,2,20.09,5,0.45,0,0,12.62,8.83,5,1,760.76,,0,1,0.8,3994.07,4,161.25,0.15,0.09,1,3.25
283325,2022-08-12,50,F,TRUE,FALSE,usa,dallas,13,1.38,14.92,5,0.38,0.2,0,6.94,8.21,4,1,348.32,0.11,0.31,1,0.5,1975.07,5,222.8,0.08,0.15,1.2,1.8
290123,2022-08-18,40,F,TRUE,FALSE,usa,houston,13,2,20.15,8,0.62,0,0,6.69,6.74,8,0.88,636.4,,0,1.5,0.88,2282.19,7,272.57,,0,1.57,2.29
297546,2022-08-24,50,F,TRUE,FALSE,usa,new york,12,2.33,23.92,8,0.67,0,0,5.97,5.78,6,0.83,406.13,0.1,0.08,1.33,0.67,1930.54,7,122.14,0.05,0.08,1.29,5.57
